size,bubble_sort,quick_sort
10,0.052,0.029
110,3.869,0.458
210,12.463999999999999,0.987
310,25.541,1.428
410,37.419000000000004,1.689
510,59.183,2.2
610,85.491,2.812
710,116.038,3.269
810,150.124,4.54
910,184.878,4.125
1010,251.46400000000003,5.827999999999999
1110,309.457,6.1339999999999995
1210,352.417,6.37
1310,419.417,7.827000000000001
1410,465.392,7.7860000000000005
1510,527.7180000000001,7.779999999999999
1610,598.2330000000001,7.896999999999999
1710,670.34,9.129
1810,766.813,9.671000000000001
1910,839.158,9.36
2010,932.7429999999999,11.575999999999999
2110,1011.9800000000001,10.425
2210,1119.519,12.035
2310,1225.0330000000001,12.364
2410,1346.332,12.883000000000001
2510,1444.4289999999999,13.296000000000001
2610,1589.599,15.229
2710,1735.542,14.527999999999999
2810,1823.997,16.337
2910,1984.6200000000001,18.450000000000003
3010,2128.8399999999997,16.875
3110,2265.871,17.248
3210,2384.5170000000003,17.756999999999998
3310,2586.933,18.243
3410,2729.132,23.111
3510,2905.824,20.874
3610,3046.337,22.419999999999998
3710,3234.163,20.692
3810,3399.103,26.512
3910,3610.116,21.64
4010,3805.189,23.363
4110,3884.4599999999996,24.017
4210,4096.484,24.157999999999998
4310,4291.846,26.517
4410,4578.739,26.734
4510,4710.902,27.774
4610,4944.209,27.738
4710,5182.293,29.747
4810,5383.735,27.782
4910,5551.152,33.800999999999995
5010,5811.9,29.563
5110,6030.3,31.133000000000003
5210,6269.084000000001,31.571
5310,6643.435,35.202999999999996
5410,6846.7390000000005,33.141
5510,6961.954000000001,31.284
5610,7253.655,35.162
5710,7581.685,35.793
5810,7835.411,34.573
5910,8048.151000000001,43.409000000000006
6010,8289.944,38.853
6110,8634.651,41.077000000000005
6210,8867.931,40.04
6310,9207.641000000001,41.533
6410,9516.071,40.617
6510,9795.295,39.660000000000004
6610,10210.611,43.145
6710,10383.005000000001,41.303
6810,10805.462,41.891
6910,11029.234,43.946
7010,11328.118,45.022
7110,11684.438999999998,45.693999999999996
7210,12063.517,46.007
7310,12370.818,46.767
7410,12745.615000000002,51.96
7510,13148.624,45.644999999999996
7610,13438.333,45.486
7710,13821.052,48.589
7810,14308.261999999999,50.314
7910,14512.582999999999,49.597
8010,14756.173,49.128
8110,15203.519,55.228
8210,15502.685,53.784
8310,15899.086000000001,49.778999999999996
8410,16199.449,55.227
8510,16667.368,54.704
8610,17125.844,56.624
8710,17522.113999999998,53.175
8810,18044.019,56.579
8910,18353.376999999997,55.967000000000006
9010,18699.318000000003,56.681000000000004
9110,19073.369,62.378
9210,19692.324,58.678000000000004
9310,19979.938000000002,62.92100000000001
9410,20522.863,57.705
9510,20983.042,60.454
9610,21410.228,67.357
9710,21675.507,64.80199999999999
9810,22310.712,62.461999999999996
9910,22705.869,66.699
